element_global_id	reference_id
684749	182647
684749	671244
684486	180495
684486	180787
684486	181797
684486	184460
684486	187315
684486	187584
684486	188374
684486	191341
684486	197964
684486	199046
684486	199856
684486	342646
684486	645800
684486	656662
684897	181060
684897	181492
684897	667216
684258	178774
684258	190544
684258	199040
684258	199046
684258	199222
684258	645701
684258	646784
684258	659481
684258	667764
684258	722468
685883	182799
685883	190544
685883	199046
685883	620605
685886	181492
685886	182314
685886	184462
685886	184912
685886	192733
685886	194660
685886	668151
685716	179169
685716	181345
685716	181797
685716	181873
685716	181950
685716	184460
685716	190027
685716	195450
685716	342646
685716	342651
685716	464500
685716	646797
685716	659455
684985	181492
684985	678073
684941	181797
684941	185610
684941	473037
684941	646797
684941	722172
684948	181060
684948	181492
684948	182647
684948	182803
684948	641997
684948	667283
685083	181492
685083	182970
685083	194447
685083	199675
685083	201501
685083	645764
685083	671244
685160	175654
685160	178332
685160	178504
685160	179923
685160	181171
685160	181345
685160	181797
685160	181815
685160	181946
685160	181950
685160	182057
685160	182304
685160	182848
685160	184460
685160	190465
685160	191884
685160	192127
685160	192879
685160	195278
685160	195450
685160	197058
685160	197283
685160	198172
685160	199046
685160	200750
685160	200873
685160	342646
685160	342651
685160	464500
685160	478087
685160	503093
685160	645800
685160	659455
685160	671254
685101	181492
685101	182970
685101	645765
685102	177165
685102	178417
685102	179865
685102	181265
685102	181492
685102	182985
685102	184573
685102	188843
684741	181797
684741	184772
684741	473037
684741	646797
684741	722172
684390	181797
684390	321625
684390	667322
684390	707494
684394	181797
684394	184460
684394	189355
684394	280000
684394	342646
684240	178774
684240	182827
684240	190544
684240	199046
684240	199222
684240	650154
684240	667764
684510	181797
684510	181865
684510	478087
684514	180977
684514	182798
684514	190544
684514	199046
684514	620605
684633	180621
684633	181797
