element_global_id	usfs_ecoregion_id	d_occurrence_status_id
683112	10179	1
683113	1088	1
683114	1088	1
683115	120	1
683115	133	1
683115	1072	1
683115	1107	3
683115	1172	1
683115	1153	1
683117	1070	1
683119	105	1
683119	10314	1
683120	1132	1
683121	103	1
683121	105	2
683121	1089	1
683121	10146	1
683122	124	1
683122	1058	1
683123	1147	1
683124	128	1
683303	10063	1
683303	10048	1
683303	10241	1
683306	104	1
683306	112	1
683306	1023	3
683306	1163	1
683306	1051	1
683306	1144	1
683306	10148	1
683306	10218	1
683306	10343	1
683306	10073	1
683306	10069	2
683307	127	1
683307	1105	3
683308	127	1
683310	114	1
683311	135	1
683311	137	1
683311	1152	1
683311	1165	1
683311	1088	1
683312	122	1
683312	1069	1
683312	1007	1
683312	1009	1
683312	1124	1
683316	123	1
683316	1008	3
683316	10223	3
683316	10395	3
683316	10086	3
683316	10002	3
683445	10468	1
683447	112	1
683447	113	3
683447	1170	1
683447	1122	1
683447	10019	1
683600	10419	2
683601	104	2
683601	10426	2
683601	10459	2
683603	120	1
683603	1046	1
683603	1153	1
683603	1068	1
683608	125	1
683609	104	1
683609	1089	1
683609	1073	1
683609	10146	1
683609	10143	1
683610	122	1
683610	125	1
683610	1168	1
683610	1099	1
683610	1069	1
683611	104	1
683611	1073	1
683611	10360	1
683611	10122	1
683612	131	1
683612	1084	1
683612	1083	1
683612	1085	1
683613	105	1
683614	124	1
683616	117	1
683616	114	1
683616	1147	1
683616	1106	1
683616	1027	1
683617	104	3
683617	123	1
683617	1008	3
683617	1019	1
683201	1028	1
683201	1135	2
683201	1092	2
683201	10222	2
683201	10243	1
683201	10439	2
683201	10175	2
683201	10376	2
683201	10397	2
683201	10025	2
683202	103	1
683202	102	1
683202	1108	1
683202	1112	1
683202	1071	1
683202	1111	1
683202	10214	1
683202	10488	1
683202	10375	1
683202	10111	1
683202	10290	1
683202	10109	1
683203	1088	1
683206	103	1
683206	1071	1
683206	1108	1
683206	10375	1
683206	10111	1
683208	122	1
683208	1138	1
683208	1047	1
683127	10311	1
683127	10396	2
683127	10116	1
683127	10234	1
683127	10375	1
683316	10136	3
683317	105	1
683317	128	2
683317	1019	2
683317	10454	2
683317	10045	2
683317	10127	1
683319	105	1
683319	1151	1
683319	10072	3
683319	10127	1
683319	10071	1
683320	127	1
683320	121	3
683320	1105	1
683322	1097	1
683323	126	1
683323	104	2
683323	1023	2
683323	1010	1
683323	10170	1
683323	10010	1
683323	10105	2
683324	128	1
683324	115	1
683324	1026	1
683324	10261	1
683324	10276	1
683324	10335	2
683327	1168	1
683328	122	1
683328	117	1
683328	107	1
683328	133	1
683328	1093	1
683328	1155	1
683328	1025	1
683328	1063	1
683328	1174	1
683328	1043	1
683328	1091	1
683447	10077	1
683448	122	1
683448	1147	1
683449	104	1
683449	10360	1
683450	115	1
683450	123	1
683450	128	1
683450	104	2
683450	1114	1
683450	1158	1
683450	1142	1
683450	1026	1
683450	1094	1
683450	1148	1
683450	1019	1
683450	1092	1
683450	10276	1
683450	10175	1
683450	10140	1
683450	10320	1
683450	10397	2
683450	10394	2
683450	10222	2
683450	10376	1
683450	10224	1
683450	10439	1
683450	10348	1
683451	101	1
683451	1100	1
683451	10195	1
683451	10081	1
683453	135	3
683453	1009	1
683457	1058	1
683458	108	1
683458	1102	1
683458	10118	1
683617	1137	3
683617	1097	1
683617	1073	3
683617	1150	1
683617	1016	3
683617	1017	3
683617	10154	1
683617	10415	2
683617	10348	1
683617	10472	1
683617	10056	2
683617	10114	1
683617	10084	1
683619	122	1
683622	103	1
683622	123	1
683622	1008	1
683622	1079	2
683622	1018	1
683622	1118	1
683622	1089	1
683622	1137	1
683622	10280	1
683622	10143	2
683622	10154	1
683622	10244	1
683622	10085	1
683622	10078	1
683622	10364	2
683622	10303	1
683622	10469	2
683622	10067	1
683622	10254	1
683624	1058	1
683625	124	1
683628	104	2
683628	112	1
683628	1012	1
683628	1144	1
683628	10270	3
683628	10218	1
683628	10148	2
683124	1019	1
683124	10261	1
683124	10335	2
683124	10403	2
683125	1151	1
683125	1051	2
683125	1126	1
683125	10190	1
683125	10041	1
683125	10462	1
683125	10486	1
683125	10039	2
683125	10073	2
683125	10040	2
683125	10262	2
683125	10331	2
683125	10330	2
683125	10332	2
683125	10189	2
683125	10430	1
683126	121	1
683127	115	1
683127	1143	1
683127	1157	2
683127	1021	2
683127	1055	1
683127	1112	1
